name,station_name_combined,station_number,district,religion,gender,to_register,from_register,room,station_name,maps,coordinates
ناخبو الطائفة سني من سجل ٢ إلى سجل ٩٨,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ١,1,الباشورة,سني,ذكر,98,2,غرفة رقم ١,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ١٠٣ إلى سجل ٢٣٠,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ٢,2,الباشورة,سني,ذكر,230,103,غرفة رقم ٢,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٢٣٢ إلى سجل ٣٦٠,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ٣,3,الباشورة,سني,ذكر,360,232,غرفة رقم ٣,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٣٦٢ إلى سجل ٤٥٠,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ٤,4,الباشورة,سني,ذكر,450,362,غرفة رقم ٤,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٤٥١ إلى سجل ٥٤١,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ٥,5,الباشورة,سني,ذكر,541,451,غرفة رقم ٥,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٥٤٢ إلى سجل ٦٣٣,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ٦,6,الباشورة,سني,ذكر,633,542,غرفة رقم ٦,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٦٣٤ إلى سجل ٧٣٨,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ٧,7,الباشورة,سني,ذكر,738,634,غرفة رقم ٧,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٧٣٩ إلى سجل ٨٦٤,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ٨,8,الباشورة,سني,ذكر,864,739,غرفة رقم ٨,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٨٦٥ إلى سجل ٩٦٦,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم ٩,9,الباشورة,سني,ذكر,966,865,غرفة رقم ٩,ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
ناخبو الطائفة سني من سجل ٩٦٧ إلى سجل ١٠٩٤,"ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري غرفة رقم
 ١٠",10,الباشورة,سني,ذكر,1094,967,"غرفة رقم
 ١٠",ابتدائية علي بن ابي طالب  –  شارع بشارة الخوري,https://maps.app.goo.gl/wP1a7FHyLGTU864x9,"33.88663009030828, 35.50703878467553"
